t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
0,66.16396678,56.86329206,69.49957919,66.16396678,56.86329206,69.49957919,10.77111745,10.77111745,3.918807514,5.105451485,3.294548515,0.7383926519,0.4463059017,0.7447495594,10.80596243,6.072742575,11.12725743
0.05,66.0271529,57.06962413,69.33774408,66.0271529,57.06962413,69.33774408,10.4788521,10.4788521,3.929752625,5.08894492,3.307495324,0.7353186747,0.4515184895,0.7411188654,10.75123688,6.155275402,11.06252338
0.1,65.89361723,57.26971338,69.18041811,65.89361723,57.26971338,69.18041811,10.19490954,10.19490954,3.940435478,5.07293778,3.320081401,0.7323155836,0.456558983,0.7375861591,10.69782261,6.235311101,10.99959299
0.15,65.76327906,57.46374246,69.02747001,65.76327906,57.46374246,69.02747001,9.919051411,9.919051411,3.950862531,5.057415453,3.332317249,0.7293817286,0.4614334896,0.7341487094,10.64568734,6.312922735,10.93841375
0.2,65.63605967,57.65188879,68.8787724,65.63605967,57.65188879,68.8787724,9.651046173,9.651046173,3.961040083,5.042363747,3.344213058,0.7265154985,0.466147857,0.7308038627,10.59479959,6.388181266,10.87893471
0.25,65.5118823,57.83432465,68.73420169,65.5118823,57.83432465,68.73420169,9.390668891,9.390668891,3.970974273,5.027768878,3.355778714,0.7237153195,0.4707076883,0.7275490407,10.54512864,6.46115561,10.82110643
0.3,65.39067209,58.01121738,68.59363795,65.39067209,58.01121738,68.59363795,9.137701058,9.137701058,3.980671089,5.01361746,3.367023814,0.7209796544,0.4751183547,0.7243817385,10.49664455,6.531912702,10.76488093
0.35,65.27235605,58.18272949,68.45696481,65.27235605,58.18272949,68.45696481,8.891930407,8.891930407,3.990136372,4.999896491,3.377957665,0.7183070015,0.4793850083,0.7212995218,10.44931814,6.600517547,10.71021167
0.4,65.15686301,58.34901882,68.32406934,65.15686301,58.34901882,68.32406934,8.653150733,8.653150733,3.999375816,4.986593345,3.388589303,0.7156958942,0.4835125933,0.718300025,10.40312092,6.667033277,10.65705348
0.45,65.04412355,58.51023864,68.19484197,65.04412355,58.51023864,68.19484197,8.42116172,8.42116172,4.008394972,4.973695759,3.398927493,0.7131448998,0.487505857,0.7153809495,10.35802514,6.731521205,10.60536254
0.5,64.93406999,58.66653782,68.06917638,64.93406999,58.66653782,68.06917638,8.195768769,8.195768769,4.017199257,4.961191825,3.40898074,0.7106526186,0.4913693597,0.7125400612,10.31400371,6.794040877,10.5550963
0.55,64.82663633,58.81806093,67.94696938,64.82663633,58.81806093,67.94696938,7.97678284,7.97678284,4.02579395,4.949069976,3.418757299,0.7082176836,0.4951074838,0.7097751888,10.27103025,6.85465012,10.5062135
0.6,64.7217582,58.96494836,67.82812088,64.7217582,58.96494836,67.82812088,7.764020287,7.764020287,4.034184201,4.937318981,3.42826518,0.7058387591,0.4987244431,0.7070842222,10.229079,6.913405095,10.4586741
0.65,64.61937284,59.10733648,67.7125337,64.61937284,59.10733648,67.7125337,7.557302706,7.557302706,4.042375029,4.925927931,3.437512154,0.7035145404,0.5022242903,0.7044651105,10.18812486,6.970360343,10.41243923
0.7,64.51941906,59.2453577,67.60011358,64.51941906,59.2453577,67.60011358,7.356456788,7.356456787,4.050371332,4.914886234,3.446505764,0.701243753,0.5056109252,0.7019158601,10.14814334,7.025568829,10.36747118
0.75,64.42183717,59.3791406,67.49076903,64.42183717,59.3791406,67.49076903,7.161314166,7.161314165,4.058177883,4.904183602,3.455253327,0.6990251517,0.5088881016,0.6994345335,10.10911058,7.079081989,10.32373336
0.8,64.32656897,59.50881006,67.38441128,64.32656897,59.50881007,67.38441128,6.971711281,6.971711277,4.065799339,4.893810045,3.463761948,0.6968575202,0.5120594343,0.6970192475,10.07100331,7.130949775,10.28119026
0.85,64.23355772,59.63448737,67.28095417,64.23355772,59.63448737,67.28095416,6.787489235,6.787489231,4.073240239,4.883755861,3.472038517,0.6947396701,0.5151284051,0.6946681714,10.03379881,7.181220696,10.23980742
0.9,64.14274808,59.75629027,67.1803141,64.14274808,59.75629027,67.18031409,6.608493669,6.608493665,4.08050501,4.874011628,3.480089722,0.6926704407,0.5180983689,0.692379526,9.997474951,7.229941858,10.19955139
0.95,64.05408609,59.87433314,67.08240993,64.05408609,59.87433315,67.08240993,6.434574625,6.434574624,4.087597969,4.864568198,3.487922055,0.6906486978,0.5209725596,0.6901515816,9.962010153,7.277159008,10.16038972
